TmdbId,MovieTitle,Popularity,ReleaseDate,Revenue,Runtime
10897,The Little Rascals,6.707109,34551,67308282,0082.0
37345,Princess Caraboo,1.943323,34593,3021629,0097.0
771,Home Alone,0.702543,33186,476684675,0103.0
251,Ghost,11.945397,33066,505000000,0127.0
812,Aladdin,16.357419,33933,504050219,0090.0
280,Terminator 2: Judgment Day,22.661695,33420,520000000,0137.0
581,Dances with Wolves,11.654349,33186,424208848,0181.0
268,Batman,19.10673,32682,411348924,0126.0
274,The Silence of the Lambs,4.307222,33270,272742922,0119.0
408,Snow White and the Seven Dwarfs,16.263878,13869,184925486,0083.0
10020,Beauty and the Beast,23.433511,33555,377350553,0084.0
10895,Pinocchio,14.202284,14664,84300000,0088.0
114,Pretty Woman,13.348451,32955,463000000,0119.0
576,The Wild Bunch,11.722424,25371,638641,0145.0
7300,One Fine Day,7.009946,35419,97529550,0108.0
10824,Candyman: Farewell to the Flesh,4.983552,34775,13940383,0093.0
275,Fargo,12.61469,35160,60611975,0098.0
25059,Homeward Bound II: Lost in San Francisco,14.657754,35132,32709423,0089.0
8766,Hellraiser: Bloodline,5.263187,35132,16675000,0086.0
10112,The Aristocats,9.834047,25925,55675257,0078.0
12520,The Last Supper,4.619915,34950,442965,0092.0
1592,Primal Fear,10.326213,35158,102616183,0129.0
19042,All Dogs Go to Heaven 2,5.028897,35153,8620678,0082.0
2021,Jack & Sarah,1.523446,34852,218626,0110.0
61752,Girl 6,4.405169,35146,4939939,0108.0
339428,Happy Weekend,0.002229,35138,65335,
10684,Courage Under Fire,11.595316,35250,100860818,0117.0
954,Mission: Impossible,15.793477,35207,457696359,0110.0
8840,DragonHeart,23.63659,35216,115267375,0103.0
10539,James and the Giant Peach,13.217623,35167,28921264,0079.0
47502,Faithful,1.296862,35158,9789900,0091.0
25087,Bloodsport II,3.085207,35125,684351,0090.0
5801,à¦ªà¦¥à§‡à¦° à¦ªà¦¾à¦�à¦šà¦¾à¦²à§€,3.900709,20327,536364,0125.0
896,à¦…à¦ªà§�à¦° à¦¸à¦‚à¦¸à¦¾à¦°,2.381806,21671,16000,0117.0
2300,Space Jam,11.054251,35384,250200000,0088.0
8069,Barbarella,14.304205,25121,2500000,0098.0
40001,Mrs. Winterbourne,9.1861,35174,10070000,0105.0
38867,Delta of Venus,1.099187,34859,62949,0099.0
9103,The Quest,7.941972,35174,57400547,0095.0
12233,Oliver & Company,10.813579,32465,74151346,0074.0
36355,Flipper,4.557006,35202,20080020,0095.0
11876,Le Hussard sur le toit,1.690768,34962,15000000,0135.0
9100,The Craft,12.860385,35188,24769466,0101.0
46063,Last Dance,1.196686,35187,5,0103.0
40507,Original Gangstas,0.343579,35195,3014000,0099.0
9802,The Rock,13.249824,35222,335062621,0136.0
664,Twister,8.739144,35195,494471524,0113.0
11867,Barb Wire,5.877599,35187,3793614,0098.0
9323,GHOST IN THE SHELL,10.686166,35021,2287714,0083.0
10547,The Arrival,6.497591,35216,14048372,0115.0
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.80398,23405,9440272,0095.0
9826,The Phantom,8.079541,35222,17300889,0100.0
9879,Striptease,11.341502,35244,113309743,0115.0
7095,Jack,6.287245,35286,58620973,0113.0
26890,I Shot Andy Warhol,2.771201,35186,1814290,0103.0
627,Trainspotting,19.348466,35118,16491080,0093.0
602,Independence Day,17.634197,35241,816969268,0145.0
9566,The Fan,12.202063,35292,18626419,0116.0
10545,The Hunchback of Notre Dame,13.553999,35237,100138851,0091.0
9894,The Cable Guy,7.586577,35226,102825796,0096.0
11543,Kingpin,11.633347,35250,25023434,0113.0
9268,Eraser,6.919314,35237,242295562,0115.0
9327,The Nutty Professor,9.651581,35242,128769345,0095.0
81949,Un Ã©tÃ© inoubliable,0.826372,34469,65352,0082.0
